num,x,y,spp,dbh01,dbh04,hgt
1,3.274086193,1.380907264,lc,27.78845306,28.26591789,18.8
2,4.322592118,0.772253938,lc,13.1461983,13.30535324,9.8
3,7.757355185,0.351795994,bp,1.89,2.355493158,3.8
4,9.627327531,3.056552398,bp,1.24,1.718873385,3.1
5,9.585109657,3.238448931,lc,10.37690229,10.59971921,8.7
6,4.157341839,5.813532654,sorbus commixta,6.366197724,6.939155519,6.5
7,3.498593412,5.538078425,lc,18.4619734,19.03493119,16
8,3.826887738,6.304417469,bp,3.38,4.169859509,4.3
9,3.553023623,6.203156162,bp,2.41,2.737465021,2.8
10,1.072319845,3.79193024,lc,12.47774754,12.60507149,10.5
11,1.385664461,4.563821747,lc,8.785352859,9.071831756,8
12,2.326204791,8.477774239,lc,26.86535439,27.91577702,17.4
13,3.426798985,9.240296955,lc,16.2338042,15.69267739,14.1
14,11.9113831,2.700695051,lc,19.32141009,19.60788899,17.5
15,14.00234001,2.013206265,lc,28.32957987,28.48873481,20.8
16,14.58243302,2.344051507,lc,17.09324089,17.44338176,10.8
17,17.17660428,0.789985593,af,2.37,2.610141067,3.5
18,14.68709705,6.283593104,lc,33.74084794,34.31380573,18.8
19,10.45464983,8.512082991,lc,23.26845268,22.95014279,18.4
20,15.93481913,9.304270772,bp,22.18619907,22.95014279,17.3
21,16.82139768,4.240748304,af,3.45,3.278591828,2.9
22,17.03832143,3.322754847,af,3.31,3.978873577,4.9
23,17.12396801,3.460992472,af,1.86,2.864788976,3.6
24,17.21738846,3.425318673,af,1.34,1.55,3.2
25,16.96408026,3.892555298,af,0.6,1.56,2
26,17.38775758,3.395010499,af,0.77,1.07,2.3
27,17.34448359,2.85111974,af,0.9,1.12,0
28,17.42513184,3.241236785,af,0.81,0.86,0
29,17.55131202,3.262682549,af,1.61,1.814366351,2.2
30,17.29825629,2.870173258,af,4.82,4.901972247,4.3
31,17.29769095,3.081417224,af,3.28,4.010704566,5
32,17.50431332,3.420561175,af,3.32,3.660563691,5.5
33,17.37652459,3.709785912,af,4.8,4.806479281,4.9
34,17.21696918,4.038089881,af,5.16,5.729577951,6.9
35,17.18048284,3.814645576,af,2.4,3.596901714,4
36,16.87067783,4.355150163,af,4.21,4.679155327,4.8
37,17.0619539,4.456235121,af,5.13,5.53859202,6.9
38,17.10024389,4.509712323,af,3.49,3.660563691,3.7
39,17.5928541,4.181719791,af,3.49,4.201690498,6.5
40,17.640981,4.199940563,af,3.81,5.220282133,7
41,17.46998603,4.256160849,af,6.302535746,6.90732453,5.9
42,17.3003325,4.478759614,af,1.25,1.527887454,3.5
43,17.47068231,4.758544118,af,1.4,1.687042397,0
44,17.38492208,4.751182567,af,0.89,0.891267681,0
45,17.36577569,4.756963203,af,0.77,0.859436693,0
46,17.28919013,4.780085747,af,4.55,5.53859202,6.4
47,17.15253386,4.951734752,af,4.39,5.283944111,6.6
48,16.89986437,4.671493233,af,5.98422586,6.589014644,6.8
49,17.21806578,4.997689469,af,4.75,5.188451145,4
50,12.15980333,10.70112985,bp,8.307888029,8.307888029,5.8
51,14.66972592,12.66594103,lc,18.30281846,18.87577625,13.8
52,15.46389952,13.74111102,lc,23.39577663,23.30028367,18
53,11.27459269,13.83818443,lc,23.84141048,24.25521333,18.3
54,10.26009449,14.80617946,lc,24.12788937,25.08281903,20.8
55,11.32720069,14.99589077,lc,14.06929697,14.38760686,13.2
56,13.454595,14.84395226,bp,0.23,0,1.2
57,16.04112701,18.03279804,lc,23.23662169,23.23662169,18
58,16.76393552,18.10400307,bp,4.265352475,4.806479281,5.8
59,17.15797834,18.36850519,bp,2.1,2.260000192,1.3
60,16.70193839,18.00222807,bp,11.80929678,11.96845172,8.9
61,16.75687558,18.50124819,bp,4.074366543,4.360845441,4.8
62,16.82220318,18.57134064,bp,3.851549623,4.583662361,5.9
63,16.62953596,19.83468015,lc,15.75633937,16.04281826,13.7
64,13.98417103,19.71925206,lc,12.63690248,13.24169127,11.9
65,12.43323761,18.22938045,bp,6.079718826,6.429859701,5.1
66,11.13052151,20.59945239,lc,25.01915705,25.30563595,18.5
67,3.659156888,11.25994876,lc,13.30535324,13.52817016,12
68,0.173054468,11.40941554,bp,0.36,0.56,1.5
69,0.169432777,11.51052724,bp,0.49,0.76,1.9
70,0.169432777,11.51052724,bp,0.91,0.86,0
71,5.023901706,12.1636339,lc,26.13324166,27.31098823,19
72,8.033570294,12.34918035,bp,5.952394872,5.98422586,8.2
73,9.768476375,10.64882148,bp,5.793239929,6.875493542,6.2
74,9.823547601,10.72139624,bp,3.15,3.724225668,4.5
75,9.752137296,10.3916863,bp,0.26,0.29,1.4
76,9.48661202,10.79661307,bp,0.27,0,1.5
77,5.20454851,12.7789701,lc,12.60507149,12.8597194,10.6
78,3.715008555,14.24362009,lc,22.91831181,23.14112873,18.9
79,1.876620648,16.58792797,bp,15.08788861,14.92873366,11.6
80,2.453480415,16.92841496,lc,9.230986699,9.485634608,7.3
81,5.687936563,19.39189958,lc,20.9766215,21.16760743,19.3
82,8.588312804,18.38098343,lc,12.66873347,13.08253632,12.9
83,1.601405654,23.05207851,lc,22.60000192,22.31352302,20.2
84,1.950339134,23.57404015,bp,4.43,0,0
85,0.384002914,24.08419912,lc,20.84929755,21.64507226,16.3
86,2.061185277,23.70777299,bp,2.98,3.21492985,4.3
87,1.861904153,23.86750491,bp,1.6,1.82,3.8
88,6.588183478,23.63698908,lc,25.30563595,25.52845287,19.7
89,9.453717384,20.52573616,bp,2.96,3.342253805,4.6
90,9.396010703,23.09637074,lc,18.11183252,18.30281846,17.7
91,9.073030784,25.4841581,lc,28.45690382,29.06169261,20.9
92,5.714776701,25.54699413,lc,17.02957891,17.18873385,13.8
93,8.171439206,27.28904714,lc,8.403380995,8.912676813,7.6
94,2.896551739,29.27845804,lc,16.87042397,17.28422682,15.7
95,4.233246224,28.7531837,lc,16.99774792,17.18873385,12.5
96,4.065420436,29.18706372,lc,22.91831181,23.65042454,17
97,9.026821127,29.76995026,bp,2.16,2.832957987,3.1
98,14.6681931,21.50858827,lc,26.2923966,27.1200023,19.8
99,19.91240985,23.70939343,lc,16.93408594,17.60253671,13
100,19.20041931,24.53719078,lc,32.81774927,33.48620003,18.7
101,18.63352419,24.9144656,lc,9.612958563,9.549296586,5.1
102,13.28027351,26.25297375,bp,14.13295895,14.13295895,11.7
103,10.14612495,26.65318846,lc,13.56000115,13.94197301,12.8
104,13.19007931,26.49414861,bp,1.82,2.228169203,1.9
105,19.17327653,27.81461727,lc,19.13042416,19.41690306,16.3
106,12.0438557,32.41003192,lc,21.29493139,21.04028348,0
107,16.15115611,31.16227301,lc,22.05887511,22.34535401,15.7
108,17.92018926,31.12720986,bp,0.99,0.84,1.5
109,19.53532289,33.56511114,lc,19.25774811,19.8625369,16.1
110,16.14147797,33.92763902,lc,17.0614099,17.02957891,15.9
111,12.69883956,35.81415213,lc,21.48591732,22.21803006,17
112,17.36040106,38.3487362,bp,4.647324338,4.774648293,5.1
113,14.28260677,38.70340619,lc,12.3185926,12.5732405,12.7
114,-0.097501512,31.98105104,lc,18.93943823,19.09859317,13.6
115,4.492425171,29.836539,lc,8.97633879,8.97633879,2.1
116,8.573776002,33.91851823,bp,1.91,1.92,3.2
117,8.507447917,34.59360297,lc,14.73774773,15.21521256,12
118,6.714235368,32.67980424,lc,28.39324185,29.18901656,18.9
119,0.586892481,34.6522475,lc,16.4884521,16.774931,11.2
120,2.671769976,36.37033317,bp,9.644789551,10.59971921,7.3
121,2.907135255,36.66064334,bp,7.734930234,7.989578143,5.7
122,3.282580588,36.78813498,lc,17.47521275,18.11183252,12.3
123,3.371224653,35.80305414,bp,1.39,1.878028328,3.7
124,3.421525919,35.79970506,bp,3.01,3.023943919,3.6
125,4.98342774,37.21790155,bp,1.28,1.273239545,2.4
126,5.604086882,37.34503559,bp,3.65,4.042535555,5.4
127,8.069155688,36.91550723,lc,18.81211427,18.58929735,17.1
128,1.349875149,42.68060882,lc,23.84141048,24.09605838,17.5
129,4.6753862,40.96560933,lc,8.75352187,8.75352187,7.3
130,7.907537245,41.07404622,lc,16.52028309,16.71126902,14.9
131,7.959370005,43.03119063,lc,18.04817055,18.33464944,17.6
132,9.532843537,44.08225354,lc,18.27098747,18.36648043,17.5
133,9.683284823,43.95640683,lc,16.42479013,16.39295914,0
134,5.900306326,45.30026509,lc,24.66901618,25.33746694,16.9
135,7.805854709,46.66618812,lc,18.08000154,18.71662131,14.8
136,10.05707215,46.34990039,lc,15.88366332,16.07464925,15.9
137,6.208021887,48.63816788,lc,23.01380477,23.07746675,15.5
138,13.70887618,41.14929314,lc,23.61859355,24.03239641,17.6
139,18.60910823,40.86199132,lc,7.925916166,8.116902098,7.7
140,18.90262923,43.76136958,lc,14.57859279,14.92873366,14.4
141,18.1457306,43.50333192,pt,0.4,0.98,2
142,15.88260708,42.96813533,lc,19.09859317,19.41690306,18
143,13.08933263,42.48341395,lc,17.85718461,17.8890156,17.5
144,12.36304395,44.589874,lc,26.13324166,26.13324166,18.7
145,16.82794799,44.84502362,lc,14.10112796,13.71915609,13.6
146,15.11500565,46.22272533,lc,14.73774773,14.96056465,13.6
147,12.66017195,48.01464918,lc,11.65014183,11.87295875,10.5
148,14.1137735,49.52125425,lc,21.99521314,21.83605819,16.6
149,16.12435543,49.54284193,lc,21.07211447,21.19943842,17.4
150,19.16840459,47.76345848,pt,7.161972439,7.989578143,10.3
151,20.91171249,43.7459218,lc,13.56000115,13.71915609,11.2
152,21.0184423,43.79395851,lc,10.37690229,10.28140932,10.5
153,20.62660794,44.55147463,pt,0.55,1.13,2.1
154,23.27794539,42.60731315,lc,11.10901503,11.23633898,9.3
155,27.4513272,40.60717951,lc,10.98169107,11.42732491,10
156,27.02693625,43.4443275,lc,23.65042454,23.39577663,16
157,23.69876583,44.74832053,lc,23.4912696,23.84141048,17.7
158,21.85134654,47.13360685,lc,23.30028367,23.26845268,15.7
159,23.89520353,48.75102052,lc,17.82535363,18.04817055,15.4
160,24.4896987,47.64022117,lc,14.13295895,14.35577587,13.3
161,25.98076994,46.28469488,lc,16.61577606,16.29746617,17
162,27.52820659,46.0872931,lc,15.69267739,15.78817035,14.6
163,28.85129028,45.35825214,lc,20.62648062,20.53098766,16.5
164,29.46541219,45.26291895,lc,12.66873347,12.73239545,11.1
165,27.21108348,47.3806534,lc,21.58141028,21.58141028,17.9
166,26.00865858,49.09252955,lc,20.24450876,20.59464964,18.7
167,26.2423312,49.99711584,lc,12.22309963,12.89155039,10.6
168,28.32858535,49.77817841,lc,16.17014222,16.67943804,14.6
169,36.64728811,41.99428201,lc,22.95014279,22.85464983,18.5
170,38.20445189,42.25988256,lc,11.61831085,11.93662073,11.1
171,38.84856628,42.12435281,lc,28.29774888,28.32957987,20.5
172,39.91147855,40.606212,lc,14.80140971,15.11971959,13.4
173,39.42068245,46.00163663,bp,2.42,2.514648101,2.4
174,39.87275949,45.95562928,bp,3.88,3.978873577,2.4
175,39.6571899,46.05794381,bp,8.880845825,9.230986699,9
176,39.41650565,46.04528919,bp,0.62,0.66,1.8
177,32.86757126,46.06639391,af,4.83831027,4.710986316,0
178,32.86757126,46.06639391,af,3.35,4.360845441,6
179,33.0975287,46.13206457,af,3.01,3.947042589,0
180,33.0975287,46.13206457,af,2.54,3.183098862,4.7
181,33.0975287,46.13206457,af,3.51,3.819718634,0
182,33.00432578,46.35570032,af,4.06,4.679155327,5.2
183,32.86757126,46.06639391,af,1.81,2.610141067,0
184,32.86757126,46.06639391,af,1.22,2.323662169,3.1
185,32.86757126,46.06639391,af,0.86,1.591549431,0
186,32.86757126,46.06639391,af,0.87,2.100845249,2.9
187,32.86757126,46.06639391,af,1.13,2.005352283,2.8
188,33.0975287,46.13206457,af,1.99,2.960281942,4.4
189,33.0975287,46.13206457,af,0.98,1.44,2.2
190,32.88759996,46.36567879,af,1.35,2.387324146,3.1
191,33.00432578,46.35570032,af,0.69,0.77,0
192,32.86757126,46.06639391,af,0.39,0.38,0
193,31.57032102,49.18675633,bp,10.12225438,10.21774735,13.2
194,31.74712285,49.24638642,bp,2.34,2.76929601,4.8
195,31.86148837,49.31583926,bp,0.8,0.85,2.4
196,32.73457502,48.88887504,lc,15.40619849,15.59718442,15.9
197,33.94052762,47.83486708,bp,1.92,2.132676237,2.5
198,35.08632801,47.40065317,lc,19.03493119,19.22591713,17.7
199,35.21219557,48.02607734,lc,22.02704412,22.18619907,17
200,34.83402169,48.30568085,lc,10.21774735,10.40873328,9.5
201,35.49379779,48.33178168,lc,15.78817035,15.9473253,9.7
202,36.09298382,48.96555343,bp,8.403380995,8.880845825,8
203,38.65494092,49.51165588,lc,19.2895791,19.03493119,15.1
204,38.55516344,31.41492117,lc,28.58422778,28.8070447,17.9
205,38.40733197,36.98973934,lc,9.994930426,10.15408537,3.6
206,36.28769853,37.83497177,lc,26.92901637,27.31098823,18.2
207,35.66662463,38.32146931,lc,12.00028271,11.7456348,10
208,32.27705441,39.67592717,lc,21.77239621,22.28169203,16.3
209,31.05942897,38.44693521,lc,23.90507245,24.03239641,19.7
210,25.65071661,30.32240557,lc,21.77239621,21.8042272,18.6
211,25.16166329,32.10455208,lc,26.26056561,26.99267835,19.6
212,23.72954851,33.32264737,lc,25.46479089,25.78310078,18.1
213,27.86850795,32.66335624,lc,21.51774831,21.61324127,17.5
214,28.36170324,35.81955939,lc,28.07493196,28.17042493,19.8
215,25.98830738,37.11730642,lc,9.262817688,9.485634608,8.7
216,28.60503379,38.02250935,lc,28.36141086,28.45690382,19.6
217,25.69714677,39.75189904,bp,13.1461983,14.70591674,10.6
218,25.84782801,39.61481465,bp,3.24,3.565070725,4.8
219,21.583453,39.24884319,lc,15.6608464,15.69267739,16.1
220,21.82011213,39.95716982,bp,29.60281942,29.82563634,19
221,20,31.87,lc,1.37,1.687042397,1.7
222,21.84834042,21.05855454,lc,19.92619888,20.37183272,16.7
223,23.31563834,22.86198225,lc,25.40112892,25.78310078,18.6
224,0,0,lc,0,13.62366313,0
225,27.12287007,22.59251269,lc,24.28704432,24.66901618,18.7
226,22.56361395,29.63476951,bp,11.42732491,11.96845172,10.9
227,22.52348569,29.41777681,bp,4.26,4.169859509,4.9
228,22.74691845,30.04104273,bp,6.429859701,7.130141451,6.6
229,22.38468593,30.00986379,bp,0.53,0.46,1.6
230,23.91016579,13.03216651,bp,1.39,1.84619734,3.4
231,28.71656669,11.46410725,bp,2.46,2.705634033,4.5
232,28.9946422,11.46440326,bp,1.98,2.260000192,3.8
233,29.12702846,11.45907783,bp,2.04,2.355493158,4.1
234,28.87883788,11.66221625,bp,0.99,1.06,2.5
235,29.84580491,12.6611632,lc,12.22309963,12.5732405,10.1
236,20.16262745,17.41511077,bp,5.825070917,5.793239929,5.3
237,20.3590666,17.44510838,bp,3.85,4.201690498,5.8
238,20.05654453,17.30059215,bp,1.56,1.91,2.7
239,20.07653891,17.42113556,bp,2.36,2.705634033,3.6
240,20.25568094,17.68407097,bp,0.76,0.89,2.6
241,30.57208927,10.47759735,lc,15.46986047,16.20197321,13.1
242,33.98359458,11.57837442,lc,12.54140952,13.01887434,11.4
243,33.52962457,13.22601019,lc,23.71408652,23.7777485,18.7
244,31.92634466,14.49373892,lc,20.18084678,20.08535382,16.2
245,33.77532697,13.8896074,lc,18.33464944,18.33464944,12.6
246,36.71735068,14.38800791,lc,27.56563614,28.17042493,19.4
247,36.74044545,13.20315534,bp,3.42,4.424507418,5.6
248,36.94094105,13.13473417,bp,3.27,3.596901714,3.8
249,36.69155563,13.45001389,bp,3.39,3.724225668,4.7
250,37.12422529,13.64136236,bp,2.43,2.673803044,3.3
251,37.31637428,13.58727654,bp,4.08,4.933803236,6.4
252,37.13042308,13.6335146,bp,5.156620156,5.76140894,4.3
253,38.67440598,14.44661675,lc,17.57070572,17.8890156,13.4
254,36.59533789,19.5088525,lc,29.76197436,30.04845326,19.7
255,38.224494,19.76997843,lc,22.02704412,22.0907061,19.6
256,30.83068679,19.07379167,bp,9.008169779,9.358310654,10.4
257,31.18478528,19.12842207,bp,15.34253651,15.62901541,13.2
258,31.25265238,18.90136561,bp,3.27,3.978873577,5.2
259,31.23488817,18.98194381,bp,1.98,2.514648101,4.4
260,30.78494336,1.406820663,sb,0.81,0.95,1.2
261,31.65791449,2.799304944,bp,0.28,0.36,0.8
262,31.90895562,3.610078182,bp,6.652676621,6.620845633,6.9
263,34.36646102,3.357158848,lc,24.25521333,24.66901618,20.5
264,34.98567263,3.960213493,lc,12.50957853,12.50957853,8.9
265,34.03811986,5.032748732,lc,25.178312,24.82817112,20.1
266,34.33780893,5.901257226,lc,22.63183291,22.75915686,16.9
267,37.01102937,3.648114092,lc,15.3743675,15.59718442,17.7
268,38.79142605,2.101933844,lc,7.862254189,7.957747155,7.6
269,39.52922439,5.283436598,lc,9.390141642,9.867606472,9.5
270,39.92582727,5.750647296,lc,16.20197321,16.58394507,16.8
271,31.81286086,7.605912973,lc,8.944507802,9.135493733,6.1
272,32.57454954,8.69069274,lc,12.98704336,12.92338138,12
273,30.12786718,9.257710604,lc,25.81493177,26.76986143,19.9
274,23.21297625,3.285669533,lc,25.7194388,26.0059177,20.2
275,25.39906682,3.098170506,lc,30.11211523,30.39859413,20.6
276,29.14590774,1.93903969,lc,21.19943842,21.58141028,17.4
277,20.68568407,6.070458013,lc,10.79070514,11.10901503,8.3
278,21.37464733,5.768423695,lc,17.79352264,18.78028328,14.2
279,26.89128058,6.90123004,lc,21.70873424,21.96338215,17.9
280,28.99315637,9.461675537,lc,22.60000192,22.88648082,19.8
281,22.74820683,8.581644416,lc,28.01126998,28.32957987,18.3
282,40.72006466,1.600809153,lc,15.46986047,16.07464925,14.3
283,42.73040866,1.340250087,bp,3.819718634,3.883380611,4.3
284,44.22026646,2.09614328,bp,1.95,2.260000192,2.8
285,44.43117316,3.124165183,lc,22.98197378,23.2047907,19.4
286,42.25376876,6.671197455,lc,10.75887415,10.94986008,11.7
287,43.03593033,5.790578779,lc,14.29211389,14.8332407,14.3
288,45.18372252,5.445988491,bp,2.98,3.278591828,3.8
289,45.11670472,5.311403959,bp,3.08,3.246760839,3.7
290,46.59861355,5.08154504,lc,21.96338215,22.21803006,17.5
291,48.81306696,9.089258124,lc,10.31324031,10.69521218,8.8
292,52.83912658,6.269888912,lc,25.21014299,25.178312,19.7
293,55.30230766,6.719469491,lc,23.36394565,23.58676257,16.8
294,54.60962413,8.670420048,lc,29.60281942,29.9211293,19.7
295,57.08162848,9.015079499,lc,20.84929755,21.58141028,16.5
296,58.40833684,5.851502124,lc,9.549296586,10.12225438,4.9
297,59.61928608,5.362197298,lc,35.77803121,35.93718615,19.3
298,58.57815898,11.12314988,lc,16.99774792,17.41155077,15.7
299,57.93043712,12.96822857,lc,16.2338042,16.2338042,14.1
300,54.96028895,11.23567387,bp,1.35,1.32,2.2
301,53.73479672,9.53160815,bp,6.843662553,6.68450761,7.5
302,53.81732526,9.587188991,bp,7.480282325,7.957747155,8.8
303,51.42521329,9.780967129,bp,6.207042781,6.46169069,8.2
304,51.42490599,10.03053348,bp,4.329014452,4.488169395,5.4
305,51.40810554,10.15092646,bp,0.69,0.89,1.9
306,51.50403557,10.22651094,bp,1.78,1.82,2.3
307,53.26280314,14.24589029,lc,21.32676237,22.05887511,19.3
308,54.936054,15.58243835,lc,17.22056484,17.57070572,16.1
309,57.78194456,19.43050016,sb,3.18,3.501408748,2.5
310,55.10126121,19.88883207,lc,30.17577721,30.30310116,20.7
311,49.05223596,10.28012025,bp,4.265352475,4.679155327,6
312,48.00592514,11.57042301,lc,25.84676276,25.94225572,18.5
313,47.29626005,9.565030363,bp,0.51,0.87,1.9
314,43.36664281,9.727029222,lc,15.9473253,15.97915629,15.8
315,42.46137078,14.63790294,lc,27.18366428,27.53380515,20.4
316,0,0,lc,0,17.72986066,12.9
317,44.92399052,13.90889679,lc,27.34281922,27.1200023,19.4
318,46.48866268,13.98436505,lc,24.54169222,24.76450915,18.3
319,47.84499588,17.12667878,bp,1.31,1.34,3.4
320,47.90814801,17.25279863,bp,4.997465213,5.029296202,5
321,47.83184385,17.41357857,bp,7.161972439,7.161972439,8.1
322,47.80115365,17.56242997,bp,2.07,2.291831181,3.1
